station_id,year,variable,value
125,2014,ro,13.019304
125,2014,t2m,2.1189818
125,2014,tp,688.10034
125,2015,ro,43.47217
125,2015,t2m,2.626184
125,2015,tp,661.8885
125,2016,ro,61.284473
125,2016,t2m,3.1170897
125,2016,tp,836.5452
125,2017,ro,39.769157
125,2017,t2m,1.8969055
125,2017,tp,759.03735
125,2018,ro,18.662323
125,2018,t2m,2.6361022
125,2018,tp,683.5253
125,2019,ro,27.13573
125,2019,t2m,1.3720337
125,2019,tp,771.4183
135,1979,ro,2251.4734
135,1979,t2m,0.2279602
135,1979,tp,2589.9146
135,1980,ro,1417.9088
135,1980,t2m,1.6604248
135,1980,tp,2349.7546
135,1981,ro,1521.3118
135,1981,t2m,1.2801148
135,1981,tp,2362.0051
135,1982,ro,1484.2738
135,1982,t2m,2.7670226
135,1982,tp,2637.009
135,1983,ro,1824.6829
135,1983,t2m,2.5155272
135,1983,tp,3509.0974
135,1984,ro,1333.8103
135,1984,t2m,2.6227965
135,1984,tp,2114.3694
135,1985,ro,1471.1782
135,1985,t2m,1.0308167
135,1985,tp,2048.2441
135,1986,ro,1840.0558
135,1986,t2m,1.1158997
135,1986,tp,2852.4028
135,1987,ro,1302.206
135,1987,t2m,1.2776428
135,1987,tp,1829.6747
135,1988,ro,1468.8625
135,1988,t2m,2.7667174
135,1988,tp,2331.9348
135,1989,ro,2024.3082
135,1989,t2m,3.0215392
135,1989,tp,3186.985
135,1990,ro,1815.3467
135,1990,t2m,3.2506957
135,1990,tp,3599.08
135,1991,ro,1314.0559
135,1991,t2m,2.8152099
135,1991,tp,2395.5337
135,1992,ro,1625.986
135,1992,t2m,2.8514953
135,1992,tp,2893.2637
135,1993,ro,1040.2532
135,1993,t2m,2.099176
135,1993,tp,2340.0964
135,1994,ro,1240.5134
135,1994,t2m,2.3976989
135,1994,tp,2695.0857
135,1995,ro,1463.4462
135,1995,t2m,2.378778
135,1995,tp,2497.1165
135,1996,ro,1175.9213
135,1996,t2m,1.4737183
135,1996,tp,1703.2919
135,1997,ro,1204.9067
135,1997,t2m,3.0298095
135,1997,tp,2492.1106
135,1998,ro,1456.1208
135,1998,t2m,2.7534728
135,1998,tp,2652.114
135,1999,ro,1579.8722
135,1999,t2m,3.3158813
135,1999,tp,2830.114
135,2000,ro,1675.6566
135,2000,t2m,3.599176
135,2000,tp,2852.2385
135,2001,ro,1503.0986
135,2001,t2m,2.2723327
135,2001,tp,2064.1377
135,2002,ro,782.65137
135,2002,t2m,3.5631042
135,2002,tp,2069.9717
135,2003,ro,1262.3226
135,2003,t2m,3.1510558
135,2003,tp,2368.0999
135,2004,ro,1594.144
135,2004,t2m,3.2343993
135,2004,tp,2587.4062
135,2005,ro,2005.9991
135,2005,t2m,3.2802367
135,2005,tp,2933.3604
135,2006,ro,1417.138
135,2006,t2m,3.9904418
135,2006,tp,2597.2727
135,2007,ro,1870.0574
135,2007,t2m,3.246942
135,2007,tp,3079.0774
135,2008,ro,1413.0691
135,2008,t2m,3.5287108
135,2008,tp,3007.385
135,2009,ro,1523.6537
135,2009,t2m,3.2457824
135,2009,tp,2363.964
135,2010,ro,1192.382
135,2010,t2m,0.9489685
135,2010,tp,1642.4255
135,2011,ro,2022.7866
135,2011,t2m,3.6452575
135,2011,tp,3426.453
135,2012,ro,1521.7572
135,2012,t2m,2.4111876
135,2012,tp,2672.843
135,2013,ro,1284.2053
135,2013,t2m,2.0435424
135,2013,tp,2511.1414
135,2014,ro,1506.5054
135,2014,t2m,4.610498
135,2014,tp,2866.2847
135,2015,ro,1755.0137
135,2015,t2m,3.2169433
135,2015,tp,3442.6758
135,2016,ro,1675.1844
135,2016,t2m,3.0978026
135,2016,tp,2680.6282
135,2017,ro,2073.3303
135,2017,t2m,3.1325622
135,2017,tp,3120.1292
135,2018,ro,2160.3486
135,2018,t2m,3.360437
135,2018,tp,2465.7979
135,2019,ro,1359.0588
135,2019,t2m,3.684442
135,2019,tp,2394.143
137,1979,ro,1228.5939
137,1979,t2m,-2.8332276
137,1979,tp,1253.6036
137,1980,ro,705.25226
137,1980,t2m,-1.703955
137,1980,tp,1171.9053
137,1981,ro,817.7974
137,1981,t2m,-2.1999269
137,1981,tp,1151.6515
137,1982,ro,743.59607
137,1982,t2m,-0.7990173
137,1982,tp,1082.4392
137,1983,ro,768.808
137,1983,t2m,-0.673468
137,1983,tp,1579.5524
137,1984,ro,861.50684
137,1984,t2m,-0.89749753
137,1984,tp,1117.6669
137,1985,ro,1056.7102
137,1985,t2m,-2.628058
137,1985,tp,1037.2457
137,1986,ro,845.32367
137,1986,t2m,-2.2095094
137,1986,tp,1247.2555
137,1987,ro,890.841
137,1987,t2m,-2.104834
137,1987,tp,1005.9438
137,1988,ro,930.4948
137,1988,t2m,-0.7028564
137,1988,tp,1236.9501
137,1989,ro,535.82623
137,1989,t2m,-0.02866211
137,1989,tp,1379.2284
137,1990,ro,731.7716
137,1990,t2m,0.057519533
137,1990,tp,1571.6249
137,1991,ro,519.4359
137,1991,t2m,-0.48346558
137,1991,tp,1011.6308
137,1992,ro,739.6414
137,1992,t2m,-0.47241822
137,1992,tp,1334.9365
137,1993,ro,636.9805
137,1993,t2m,-1.3927673
137,1993,tp,1164.7542
137,1994,ro,928.6359
137,1994,t2m,-1.4180053
137,1994,tp,1224.418
137,1995,ro,671.6103
137,1995,t2m,-0.9701904
137,1995,tp,1134.6814
137,1996,ro,533.30676
137,1996,t2m,-1.7107605
137,1996,tp,909.47766
137,1997,ro,673.505
137,1997,t2m,-0.29886475
137,1997,tp,1233.9172
137,1998,ro,836.2953
137,1998,t2m,-0.72614133
137,1998,tp,1299.093
137,1999,ro,694.6886
137,1999,t2m,-0.14566651
137,1999,tp,1290.1239
137,2000,ro,968.95135
137,2000,t2m,0.4225708
137,2000,tp,1536.7329
137,2001,ro,745.2849
137,2001,t2m,-0.9099182
137,2001,tp,1061.4386
137,2002,ro,609.637
137,2002,t2m,0.060662843
137,2002,tp,1043.2222
137,2003,ro,550.55304
137,2003,t2m,-0.13864747
137,2003,tp,1083.3365
137,2004,ro,603.7037
137,2004,t2m,-0.023565674
137,2004,tp,1288.7678
137,2005,ro,772.8892
137,2005,t2m,0.29577026
137,2005,tp,1279.2667
137,2006,ro,501.84863
137,2006,t2m,0.61165774
137,2006,tp,1266.0975
137,2007,ro,792.52655
137,2007,t2m,0.055444337
137,2007,tp,1371.4297
137,2008,ro,644.35114
137,2008,t2m,-0.03430786
137,2008,tp,1389.6416
137,2009,ro,536.4537
137,2009,t2m,-0.25784913
137,2009,tp,1179.4624
137,2010,ro,503.25208
137,2010,t2m,-2.3411012
137,2010,tp,935.05585
137,2011,ro,1093.5427
137,2011,t2m,0.6395203
137,2011,tp,1637.7794
137,2012,ro,565.1186
137,2012,t2m,-1.0475525
137,2012,tp,1298.1748
137,2013,ro,625.2715
137,2013,t2m,-0.7085022
137,2013,tp,1202.5951
137,2014,ro,891.12805
137,2014,t2m,1.0705811
137,2014,tp,1415.6174
137,2015,ro,1255.4261
137,2015,t2m,-0.02942505
137,2015,tp,1463.5896
137,2016,ro,827.1591
137,2016,t2m,-0.033392332
137,2016,tp,1186.8885
137,2017,ro,1048.0631
137,2017,t2m,-0.079992674
137,2017,tp,1423.773
137,2018,ro,779.3114
137,2018,t2m,0.2619873
